xbj,Q2,z,zi,y_neg_H2,err_neg_H2,y_pos_H2,err_pos_H2,y_neg_D2,err_neg_D2,y_pos_D2,err_pos_D2,y_neg_Dummy,err_neg_Dummy,y_pos_Dummy,err_pos_Dummy,y_H2_neg_delta,y_H2_neg_rho,y_H2_neg_Dummy,y_H2_neg_incnorad,y_H2_pos_delta,y_H2_pos_exc,y_H2_pos_rho,y_H2_pos_Dummy,y_H2_pos_incnorad,y_D2_neg_delta,y_D2_neg_exc,y_D2_neg_rho,y_D2_neg_Dummy,y_D2_neg_incnorad,y_D2_pos_delta,y_D2_pos_exc,y_D2_pos_rho,y_D2_pos_Dummy,y_D2_pos_incnorad
0.35,4,0.5,0.575,17.0504,0.276092,37.5043,0.426507,36.1838,0.62681,61.0029,1.0789,6.26305,0.221033,9.97947,0.349999,0.191695,1.32618,2.4805,1.15416,0.729834,0.710048,1.75084,5.16202,1.1519,0.406807,0.497149,2.81438,5.26402,1.15416,1.18712,1.15493,2.84784,8.39632,1.1519
0.35,4,0.5,0.625,2.48165,0.105331,5.70456,0.16634,5.11703,0.235715,8.67817,0.406932,1.05813,0.090852,1.55588,0.138198,0.0360356,0.256151,0.370964,1.17634,0.141183,0.139188,0.347888,0.821665,1.17361,0.0743034,0.0909208,0.528171,0.764908,1.17634,0.214777,0.211743,0.529232,1.24997,1.17361
0.35,4,0.5,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1987,0,0,0,0,1.19224,0,0,0,0,1.1987,0,0,0,0,1.19224
0.35,4,0.5,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22124,0,0,0,0,1.2078,0,0,0,0,1.22124,0,0,0,0,1.2078
0.35,4,0.5,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24395,0,0,0,0,1.22027,0,0,0,0,1.24395,0,0,0,0,1.22027
0.35,4,0.5,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26685,0,0,0,0,1.22967,0,0,0,0,1.26685,0,0,0,0,1.22967
0.35,4,0.5,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28992,0,0,0,0,1.23599,0,0,0,0,1.28992,0,0,0,0,1.23599
0.35,4,0.5,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31318,0,0,0,0,1.23922,0,0,0,0,1.31318,0,0,0,0,1.23922
0.35,4,0.5,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33661,0,0,0,0,1.23938,0,0,0,0,1.33661,0,0,0,0,1.23938
0.35,4,0.6,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921978,0,0,0,0,0.709781,0,0,0,0,0.921978,0,0,0,0,0.709781
0.35,4,0.6,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94219,0,0,0,0,0.765372,0,0,0,0,0.94219,0,0,0,0,0.765372
0.35,4,0.6,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962582,0,0,0,0,0.817882,0,0,0,0,0.962582,0,0,0,0,0.817882
0.35,4,0.6,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983152,0,0,0,0,0.867313,0,0,0,0,0.983152,0,0,0,0,0.867313
0.35,4,0.6,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0039,0,0,0,0,0.913665,0,0,0,0,1.0039,0,0,0,0,0.913665
0.35,4,0.6,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02483,0,0,0,0,0.956937,0,0,0,0,1.02483,0,0,0,0,0.956937
0.35,4,0.6,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04594,0,0,0,0,0.997129,0,0,0,0,1.04594,0,0,0,0,0.997129
0.35,4,0.6,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06722,0,0,0,0,1.03424,0,0,0,0,1.06722,0,0,0,0,1.03424
0.35,4,0.6,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08869,0,0,0,0,1.06827,0,0,0,0,1.08869,0,0,0,0,1.06827
0.35,4,0.6,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11033,0,0,0,0,1.09923,0,0,0,0,1.11033,0,0,0,0,1.09923
0.35,4,0.6,0.525,8.47578,0.196307,19.0242,0.36108,19.443,0.470208,32.3713,0.639907,3.40381,0.180758,5.09548,0.206018,0.072231,0.493253,1.20277,1.13216,0.286723,0.277376,0.678005,2.52184,1.1271,0.165694,0.203538,1.1315,2.7591,1.13216,0.487884,0.471979,1.15368,4.29113,1.1271
0.35,4,0.6,0.575,24.5733,0.334255,51.4283,0.593679,50.4384,0.757336,85.105,1.03756,9.08815,0.29536,13.707,0.337897,0.276273,1.91131,3.57493,1.15416,1.0008,0.973664,2.40086,7.07849,1.1519,0.567069,0.693001,3.9231,7.33778,1.15416,1.65615,1.61125,3.97302,11.7137,1.1519
0.35,4,0.6,0.625,22.0773,0.316825,50.0359,0.585587,46.1458,0.724393,80.2171,1.00733,8.12254,0.279228,12.8041,0.326579,0.320581,2.27878,3.30018,1.17634,1.23834,1.22085,3.0514,7.207,1.17361,0.670075,0.819932,4.76309,6.898,1.17634,1.9853,1.95726,4.89198,11.5542,1.17361
0.35,4,0.6,0.675,12.852,0.24173,30.5458,0.457537,27.2836,0.557005,50.5062,0.799299,4.47276,0.207206,7.97702,0.257771,0.235912,1.72872,1.97811,1.1987,0.945049,0.946348,2.39909,4.63549,1.19224,0.50082,0.615372,3.66992,4.19935,1.1987,1.5626,1.56475,3.9668,7.66458,1.19224
0.35,4,0.6,0.725,0.538021,0.049459,1.24295,0.0922949,1.43832,0.12789,2.14491,0.164718,0.181719,0.0417651,0.238268,0.0445498,0.0122392,0.0923542,0.0854244,1.22124,0.047268,0.0480745,0.123491,0.199859,1.2078,0.0327196,0.0404147,0.246895,0.22837,1.22124,0.0815686,0.0829604,0.213104,0.344889,1.2078
0.35,4,0.6,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24395,0,0,0,0,1.22027,0,0,0,0,1.24395,0,0,0,0,1.22027
0.35,4,0.6,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26685,0,0,0,0,1.22967,0,0,0,0,1.26685,0,0,0,0,1.22967
0.35,4,0.6,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28992,0,0,0,0,1.23599,0,0,0,0,1.28992,0,0,0,0,1.23599
0.35,4,0.6,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31318,0,0,0,0,1.23922,0,0,0,0,1.31318,0,0,0,0,1.23922
0.35,4,0.6,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33661,0,0,0,0,1.23938,0,0,0,0,1.33661,0,0,0,0,1.23938
0.35,4,0.7,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921978,0,0,0,0,0.709781,0,0,0,0,0.921978,0,0,0,0,0.709781
0.35,4,0.7,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94219,0,0,0,0,0.765372,0,0,0,0,0.94219,0,0,0,0,0.765372
0.35,4,0.7,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962582,0,0,0,0,0.817882,0,0,0,0,0.962582,0,0,0,0,0.817882
0.35,4,0.7,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983152,0,0,0,0,0.867313,0,0,0,0,0.983152,0,0,0,0,0.867313
0.35,4,0.7,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0039,0,0,0,0,0.913665,0,0,0,0,1.0039,0,0,0,0,0.913665
0.35,4,0.7,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02483,0,0,0,0,0.956937,0,0,0,0,1.02483,0,0,0,0,0.956937
0.35,4,0.7,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04594,0,0,0,0,0.997129,0,0,0,0,1.04594,0,0,0,0,0.997129
0.35,4,0.7,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06722,0,0,0,0,1.03424,0,0,0,0,1.06722,0,0,0,0,1.03424
0.35,4,0.7,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08869,0,0,0,0,1.06827,0,0,0,0,1.08869,0,0,0,0,1.06827
0.35,4,0.7,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11033,0,0,0,0,1.09923,0,0,0,0,1.11033,0,0,0,0,1.09923
0.35,4,0.7,0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13216,0,0,0,0,1.1271,0,0,0,0,1.13216,0,0,0,0,1.1271
0.35,4,0.7,0.575,0.27205,0.0355669,0.462139,0.0623583,0.617624,0.0776868,0.909975,0.104192,0.142553,0.0399293,0.22257,0.0422434,0.0030586,0.02116,0.0395778,1.15416,0.00899323,0.00874942,0.0215743,0.0636079,1.1519,0.00694383,0.00848588,0.0480388,0.089852,1.15416,0.0177081,0.0172281,0.042481,0.125247,1.1519
0.35,4,0.7,0.625,12.101,0.237209,26.0866,0.468508,24.5163,0.489455,44.5041,0.72865,4.48611,0.223995,6.95774,0.236189,0.175716,1.24904,1.80889,1.17634,0.64562,0.6365,1.59087,3.75743,1.17361,0.355997,0.435612,2.53053,3.66477,1.17634,1.10144,1.08588,2.71405,6.41022,1.17361
0.35,4,0.7,0.675,16.604,0.277861,38.0033,0.565482,33.2214,0.569763,63.4872,0.870286,5.86109,0.256031,10.3815,0.288506,0.304783,2.2334,2.55559,1.1987,1.17577,1.17739,2.9848,5.76719,1.19224,0.609814,0.749296,4.46861,5.11326,1.1987,1.96421,1.96691,4.98633,9.63451,1.19224
0.35,4,0.7,0.725,4.44692,0.143797,11.1755,0.306649,8.7745,0.292817,18.3623,0.46804,1.69652,0.137747,2.87525,0.151832,0.101161,0.763337,0.706061,1.22124,0.42499,0.432242,1.11032,1.79694,1.2078,0.199607,0.246551,1.50619,1.39317,1.22124,0.698298,0.710213,1.82435,2.95254,1.2078
0.35,4,0.7,0.775,-nan,-nan,0,0,0,0,-nan,-nan,0,0,0,0,-nan,-nan,-nan,1.24395,0,0,0,0,1.22027,0,0,0,0,1.24395,-nan,-nan,-nan,-nan,1.22027
0.35,4,0.7,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26685,0,0,0,0,1.22967,0,0,0,0,1.26685,0,0,0,0,1.22967
0.35,4,0.7,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28992,0,0,0,0,1.23599,0,0,0,0,1.28992,0,0,0,0,1.23599
