Q2,Q2_corr,xbj,xbj_corr,z,z_corr,RunGroup,y_RD,error_RD,y_RD_rho,yield_neg,yield_pos,charge_neg,charge_pos,yield_neg_rho,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,Residual
4.0,4.16584,0.375,0.371764,0.575,0.572305,90.0,3.99866,0.741556,3.55947,13.84,22.1463,111.463,62.5913,1.05357,1.05357,17.4875,14.7994,29.3664,24.4778,7.92476,3.78142,0.360646,0.556417,3.42266,0.9812434194531878
4.0,4.60333,0.425,0.418281,0.575,0.572921,90.0,3.26499,0.937797,2.93923,4.8063,8.18706,111.463,62.5913,0.334363,0.334363,4.90179,4.22341,8.38421,6.9385,7.28748,3.47592,0.404734,0.554198,3.36538,0.09840010143347412
4.0,4.09398,0.375,0.37398,0.625,0.611355,90.0,2.70015,1.02053,2.21375,2.62268,4.74909,111.463,62.5913,0.293009,0.293009,3.38883,2.8482,5.77971,4.80789,7.73734,3.42856,0.360584,0.593459,3.57193,-0.20283735477818068
4.0,3.41095,0.275,0.286406,0.525,0.532555,80.0,2.25325,0.57251,1.9474,5.25331,10.0977,108.44,94.6964,0.477786,0.477786,8.41577,7.58066,13.3508,11.2382,9.3845,4.76229,0.280142,0.52159,3.38501,-2.9208137639148393
4.0,3.81008,0.325,0.32331,0.525,0.535706,80.0,4.34773,0.866549,3.92101,11.4915,17.9381,108.44,94.6964,0.759643,0.759643,14.293,12.2723,23.1635,20.3404,8.85894,4.48783,0.315276,0.522898,3.36862,0.6823473195980041
4.0,4.27733,0.375,0.366917,0.525,0.538565,80.0,3.08453,0.936672,2.82958,4.30713,7.47063,108.44,94.6964,0.220281,0.220281,4.33722,3.522,7.17347,5.7847,8.26701,4.18086,0.357171,0.524076,3.35063,-0.5556811981469438
4.0,3.41176,0.275,0.287083,0.575,0.574183,80.0,2.88625,0.606698,2.37253,7.67267,13.5956,108.44,94.6964,0.853626,0.853626,11.9294,10.3345,19.212,17.0892,9.35864,4.39364,0.281199,0.562307,3.64275,-1.0218709546739873
4.0,3.77402,0.325,0.326098,0.575,0.574857,80.0,4.00371,0.50675,3.49404,24.856,39.7585,108.44,94.6964,2.15489,2.15489,32.4413,28.5714,53.4293,48.1729,8.68689,4.09951,0.317751,0.560848,3.55182,1.259106483280838
4.0,4.20147,0.375,0.371329,0.575,0.576209,80.0,3.62575,0.561355,3.20149,17.6226,29.0516,108.44,94.6964,1.29049,1.29049,20.1331,16.5435,33.8585,28.4136,7.99981,3.78158,0.361141,0.560162,3.47998,0.6956028245642502
4.0,4.60559,0.425,0.417076,0.575,0.578486,80.0,2.90798,0.897211,2.62299,4.29587,7.59364,108.44,94.6964,0.23196,0.23196,4.47814,3.57172,7.67445,6.53902,7.32309,3.45106,0.403638,0.559786,3.40961,-0.24020872618929934
4.0,3.41179,0.275,0.287154,0.625,0.623877,80.0,3.44162,0.736491,3.00953,7.09561,11.8882,108.44,94.6964,0.545935,0.545935,9.59791,8.01573,15.657,13.6474,9.3559,3.96447,0.281203,0.610535,3.95738,0.555547567913832
4.0,3.766,0.325,0.326282,0.625,0.623861,80.0,3.97707,0.508014,3.32364,23.1453,37.0965,108.44,94.6964,2.39427,2.39427,29.0921,24.1794,48.6377,42.0232,8.66485,3.70546,0.317866,0.60818,3.84511,2.102573864661878
4.0,4.18451,0.375,0.371283,0.625,0.623784,80.0,2.62602,0.358438,2.14715,16.1544,29.5199,108.44,94.6964,1.88572,1.88572,18.4887,16.185,31.6148,27.4241,7.97241,3.42872,0.360625,0.606208,3.75342,-0.49008976638806057
4.0,4.58054,0.425,0.414866,0.625,0.621613,80.0,3.25465,1.04309,2.86432,3.79918,6.47803,108.44,94.6964,0.285337,0.285337,4.36557,3.56786,7.60534,6.20754,7.34485,3.18187,0.401163,0.600851,3.66343,0.4932039950042307
4.0,3.41371,0.275,0.288043,0.675,0.669305,80.0,3.16647,0.753082,2.22046,4.89705,8.42309,108.44,94.6964,0.927211,0.927211,5.91143,5.0665,9.73592,8.56597,9.32399,3.56688,0.282018,0.655282,4.23514,0.7229737904701266
4.0,3.7613,0.325,0.326367,0.675,0.671802,80.0,2.14414,0.291806,1.51435,14.4824,28.3009,108.44,94.6964,2.54984,2.54984,20.7942,17.8936,35.1384,29.4975,8.65157,3.32583,0.318049,0.655533,4.13445,-1.1819978149928974
4.0,4.17087,0.375,0.367854,0.675,0.667077,80.0,2.94951,0.520466,2.51471,10.0349,17.6573,108.44,94.6964,0.942493,0.942493,10.9356,8.79895,18.8745,14.4838,8.0514,3.15048,0.356844,0.647886,4.03816,0.987123117069768
4.0,3.4077,0.275,0.286363,0.625,0.626323,70.0,3.93665,0.840316,3.31871,7.65361,12.3047,130.017,102.151,0.858754,0.858754,9.02817,8.05681,14.7414,13.1152,9.37822,3.95388,0.280287,0.612848,3.97892,1.0995004326247277
4.0,3.80071,0.325,0.323724,0.625,0.630556,70.0,2.23968,0.35341,1.7697,12.233,23.5611,130.017,102.151,1.54912,1.54912,17.5728,15.2329,29.3666,25.2658,8.82461,3.71076,0.315925,0.615896,3.95122,-1.7423177360131952
4.0,4.2627,0.375,0.367315,0.625,0.633612,70.0,2.18771,0.51611,1.82884,5.45559,10.5899,130.017,102.151,0.506132,0.506132,6.04854,5.05294,10.3459,8.77077,8.22945,3.45768,0.357221,0.616728,3.92531,-1.0375142755792868
4.0,3.40909,0.275,0.287001,0.675,0.673902,70.0,1.72644,0.376038,1.11595,5.77805,12.1358,130.017,102.151,1.14885,1.14885,9.46637,8.1358,15.5948,12.819,9.35574,3.53574,0.280739,0.659702,4.27417,-2.2848246926163736
4.0,3.76914,0.325,0.325942,0.675,0.67375,70.0,2.33606,0.283096,1.68608,19.7814,37.5702,130.017,102.151,3.15723,3.15723,26.4644,21.9598,44.7094,37.6434,8.68277,3.31884,0.318037,0.657314,4.16064,-0.4858650287044536
4.0,4.18867,0.375,0.367155,0.675,0.669264,70.0,2.84687,0.507529,2.23603,10.2029,18.1597,130.017,102.151,1.35961,1.35961,11.4403,9.26797,19.7408,15.4944,8.10477,3.15113,0.356009,0.650381,4.07679,0.8434255463468515
4.0,3.40576,0.275,0.286349,0.725,0.718017,70.0,1.78784,0.466581,1.14924,3.75863,7.8033,130.017,102.151,0.694926,0.694926,5.7675,4.74801,9.54091,8.07941,9.37414,3.16701,0.280257,0.703445,4.56028,-0.9234218952943989
4.0,3.7395,0.325,0.318795,0.725,0.710668,70.0,1.59656,0.353948,0.865161,5.01577,10.8109,130.017,102.151,1.31875,1.31875,7.19655,6.36628,12.1669,9.92867,8.87419,3.09081,0.30829,0.693809,4.45067,-1.6691877654268605
4.0,3.45877,0.325,0.327552,0.425,0.437112,400.0,5.56863,1.32914,5.09877,10.3213,15.0352,120.391,75.3767,0.614724,0.614724,12.7577,11.2668,19.6003,17.8423,7.98636,4.77748,0.318658,0.425249,2.46151,0.6147518066570034
4.0,3.92221,0.375,0.373351,0.425,0.43845,400.0,8.75941,3.24111,8.19208,7.91695,10.3506,120.391,75.3767,0.327901,0.327901,10.2165,8.71161,15.9709,14.5531,7.46672,4.47315,0.361858,0.425417,2.45587,1.2862281128132924
4.0,4.32816,0.425,0.41671,0.425,0.440665,400.0,5.11404,2.21555,4.95087,3.15669,4.7056,120.391,75.3767,0.0636988,0.0636988,2.81553,2.29988,4.46261,3.79915,6.94425,4.15785,0.402693,0.425319,2.44041,0.29441263617361024
4.0,3.45288,0.325,0.330053,0.475,0.473762,400.0,5.00492,0.826063,4.61331,18.36,27.5324,120.391,75.3767,1.07832,1.07832,25.7351,23.4531,40.367,37.0234,7.89649,4.46837,0.320772,0.460652,2.64464,0.7748959269207881
4.0,3.81482,0.375,0.374866,0.475,0.47523,400.0,4.28365,0.565125,3.97814,28.2393,44.2734,120.391,75.3767,1.38665,1.38665,37.4909,32.3257,59.8117,52.0518,7.2477,4.1154,0.363097,0.460101,2.57955,0.12114924803158365
4.0,4.19329,0.425,0.421534,0.475,0.47805,400.0,3.83776,0.602326,3.54857,19.0167,30.8094,120.391,75.3767,1.00856,1.00856,20.332,17.3638,32.901,27.421,6.63983,3.76517,0.406798,0.461049,2.53577,-0.40186533674742236
4.0,4.54047,0.475,0.468866,0.475,0.481168,400.0,3.16963,0.905974,2.93649,5.56555,9.56991,120.391,75.3767,0.264346,0.264346,5.69282,4.72977,9.32634,7.62104,6.02859,3.40466,0.450832,0.462299,2.48428,-0.8769517818633149
4.0,3.44934,0.325,0.32975,0.525,0.523582,400.0,4.39055,0.739344,3.82854,14.3441,22.327,120.391,75.3767,1.22424,1.22424,20.7076,18.4398,33.3327,31.395,7.89884,4.11522,0.32074,0.509351,2.92324,0.7186147154040408
4.0,3.80068,0.375,0.376057,0.525,0.523415,400.0,5.13268,0.7082,4.67031,26.5278,39.5048,120.391,75.3767,1.80201,1.80201,33.4683,29.3888,54.8649,47.5387,7.19297,3.77883,0.36388,0.50625,2.82307,1.977457212565312
4.0,4.14387,0.425,0.421908,0.525,0.524087,400.0,4.44282,0.66452,4.11794,21.4769,33.3146,120.391,75.3767,1.01886,1.01886,22.5997,18.5873,37.5963,31.5654,6.56276,3.45708,0.406972,0.505188,2.74628,1.2259785034310107
4.0,4.5034,0.475,0.467931,0.525,0.521243,400.0,6.71773,2.03362,6.05475,8.11938,11.2755,120.391,75.3767,0.496314,0.496314,7.09102,5.61402,11.924,9.91517,6.00467,3.18181,0.447307,0.499017,2.67614,1.5439394209166302
4.0,3.44895,0.325,0.333731,0.575,0.563306,400.0,4.12194,1.11141,3.43376,5.2681,8.3537,120.391,75.3767,0.591736,0.591736,6.70541,5.80116,11.0152,9.76002,7.77364,3.7843,0.323993,0.547896,3.10692,0.598969009012347
4.0,3.75306,0.375,0.376598,0.575,0.569918,400.0,5.88384,1.16672,5.00308,15.0248,21.5726,120.391,75.3767,1.49557,1.49557,18.9527,15.7592,31.8276,27.4066,7.10008,3.44498,0.36421,0.551662,3.03082,2.2286366428166717
4.0,4.11825,0.425,0.420237,0.575,0.568663,400.0,3.72795,0.7102,3.2755,10.8657,17.7603,120.391,75.3767,0.933846,0.933846,13.5413,11.7896,23.1079,19.6963,6.5648,3.20429,0.403973,0.547216,2.97312,0.7311433043907642
4.0,3.45342,0.325,0.327966,0.525,0.529611,390.0,5.83787,1.39959,5.14625,13.4869,19.404,107.597,55.8068,1.03563,1.03563,17.0131,14.3805,27.4551,24.5663,7.96295,4.10311,0.319072,0.515791,2.97575,1.452785594179566
