xbj,Q2,z,x,y_neg_H2,err_neg_H2,y_pos_H2,err_pos_H2,y_neg_D2,err_neg_D2,y_pos_D2,err_pos_D2,y_neg_Dummy,err_neg_Dummy,y_pos_Dummy,err_pos_Dummy,y_H2_neg_delta,y_H2_neg_rho,y_H2_neg_Dummy,y_H2_neg_incnorad,y_H2_pos_delta,y_H2_pos_exc,y_H2_pos_rho,y_H2_pos_Dummy,y_H2_pos_incnorad,xs_H2_pos,xs_H2_neg,y_H2_neg_incnorad_yield,y_H2_pos_incnorad_yield,y_D2_neg_delta,y_D2_neg_exc,y_D2_neg_rho,y_D2_neg_Dummy,y_D2_neg_incnorad,y_D2_pos_delta,y_D2_pos_exc,y_D2_pos_rho,y_D2_pos_Dummy,y_D2_pos_incnorad,xs_D2_pos,xs_D2_neg,y_D2_neg_incnorad_yield,y_D2_pos_incnorad_yield
0.35,4,0.5,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921978,0,0,0,0,0.709781,0,0,0,0,0,0,0,0,0.921978,0,0,0,0,0.709781,0,0,0,0
0.35,4,0.5,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94219,0,0,0,0,0.765372,0,0,0,0,0,0,0,0,0.94219,0,0,0,0,0.765372,0,0,0,0
0.35,4,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962582,0,0,0,0,0.817882,0,0,0,0,0,0,0,0,0.962582,0,0,0,0,0.817882,0,0,0,0
0.35,4,0.5,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983152,0,0,0,0,0.867313,0,0,0,0,0,0,0,0,0.983152,0,0,0,0,0.867313,0,0,0,0
0.35,4,0.5,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0039,0,0,0,0,0.913665,0,0,0,0,0,0,0,0,1.0039,0,0,0,0,0.913665,0,0,0,0
0.35,4,0.5,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02483,0,0,0,0,0.956937,0,0,0,0,0,0,0,0,1.02483,0,0,0,0,0.956937,0,0,0,0
0.35,4,0.5,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04594,0,0,0,0,0.997129,0,0,0,0,0,0,0,0,1.04594,0,0,0,0,0.997129,0,0,0,0
0.35,4,0.5,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06722,0,0,0,0,1.03424,0,0,0,0,0,0,0,0,1.06722,0,0,0,0,1.03424,0,0,0,0
0.35,4,0.5,0.425,5.8428,0.16162,11.4458,0.235618,13.0381,0.376258,18.5858,0.595522,1.82309,0.119253,3.38103,0.203722,0.0277662,0.213774,0.794899,1.08869,0.102967,0.105528,0.266888,1.44632,1.06827,0,0,0,0,0.0619597,0.0808247,0.477032,1.7738,1.08869,0.167199,0.171357,0.433377,2.34856,1.06827,0,0,0,0
0.35,4,0.5,0.475,29.713,0.364467,61.1489,0.544604,63.971,0.833432,97.6614,1.36511,9.94523,0.27853,15.3608,0.43423,0.18893,1.32118,4.12305,1.11033,0.708319,0.693589,1.70302,7.87607,1.09923,3.05525e-09,1.64706e-09,2.92467,5.42516,0.40676,0.508888,2.84445,8.87678,1.11033,1.13126,1.10774,2.7199,12.5789,1.09923,1.25949e-08,8.14155e-09,16.4107,25.3871
0.35,4,0.5,0.525,27.2014,0.348724,57.3483,0.527407,61.9921,0.82044,93.813,1.33795,9.57013,0.273227,15.2454,0.432596,0.231811,1.583,3.86006,1.13216,0.864325,0.836148,2.04384,7.60207,1.1271,2.09605e-09,1.08996e-09,11.3796,21.8835,0.5283,0.648962,3.60767,8.7971,1.13216,1.4139,1.36781,3.34341,12.4358,1.1271,1.10278e-08,6.95818e-09,82.4718,130.707
0.35,4,0.5,0.575,17.0571,0.276146,37.5139,0.426562,36.1838,0.62681,61.0029,1.0789,6.26305,0.221033,9.97947,0.349999,0.19177,1.3267,2.48147,1.15416,0.730022,0.710231,1.75129,5.16335,1.1519,1.50126e-09,7.53791e-10,8.4438,16.8167,0.406807,0.497149,2.81438,5.26402,1.15416,1.18712,1.15493,2.84784,8.39632,1.1519,9.84558e-09,6.06641e-09,78.8081,127.903
0.35,4,0.5,0.625,2.52866,0.106324,5.89481,0.169091,5.27986,0.239436,8.93492,0.412907,1.07254,0.0914683,1.60122,0.140197,0.0367181,0.261003,0.37799,1.17634,0.145891,0.14383,0.359491,0.849069,1.17361,1.06348e-09,5.16721e-10,3.82736,7.87716,0.0766679,0.093814,0.544978,0.789248,1.17634,0.221131,0.218007,0.544889,1.28696,1.17361,8.80632e-09,5.30358e-09,47.9669,79.6465
0.35,4,0.5,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1987,0,0,0,0,1.19224,7.97003e-10,3.73437e-10,0.280913,0.599534,0,0,0,0,1.1987,0,0,0,0,1.19224,7.52634e-09,4.40997e-09,6.84729,11.686
0.35,4,0.5,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22124,0,0,0,0,1.2078,0,0,0,0,0,0,0,0,1.22124,0,0,0,0,1.2078,0,0,0,0
0.35,4,0.5,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24395,0,0,0,0,1.22027,0,0,0,0,0,0,0,0,1.24395,0,0,0,0,1.22027,0,0,0,0
0.35,4,0.5,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26685,0,0,0,0,1.22967,0,0,0,0,0,0,0,0,1.26685,0,0,0,0,1.22967,0,0,0,0
0.35,4,0.5,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28992,0,0,0,0,1.23599,0,0,0,0,0,0,0,0,1.28992,0,0,0,0,1.23599,0,0,0,0
0.35,4,0.5,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31318,0,0,0,0,1.23922,0,0,0,0,0,0,0,0,1.31318,0,0,0,0,1.23922,0,0,0,0
0.35,4,0.5,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33661,0,0,0,0,1.23938,0,0,0,0,0,0,0,0,1.33661,0,0,0,0,1.23938,0,0,0,0
