Q2,Q2_corr,xbj,xbj_corr,z,z_corr,RunGroup,y_RD,error_RD,y_RD_rho,yield_neg,yield_pos,charge_neg,charge_pos,yield_neg_rho,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,shms_dp,Residual
4.0,4.60312,0.425,0.418257,0.575,0.572935,90.0,3.25546,0.93037,2.9321,4.83172,8.23798,111.463,62.5913,0.334363,0.334363,4.90179,4.22341,8.38421,6.9385,7.28786,3.47599,0.404756,0.554252,3.36549,10.8195,-0.2590654591687409
4.0,4.09356,0.375,0.373895,0.625,0.611364,90.0,2.53716,0.948409,2.06964,2.60966,4.82302,111.463,62.5913,0.293009,0.293009,3.38883,2.8482,5.77971,4.80789,7.73917,3.42931,0.360469,0.593507,3.57241,17.633,-0.6797979300590546
4.0,3.41112,0.275,0.286815,0.575,0.574779,80.0,3.11563,0.675458,2.564,7.40186,12.7973,108.44,94.6964,0.847652,0.847652,11.4845,10.0572,18.4969,16.5453,9.36798,4.39237,0.280992,0.562939,3.64912,0.0939108,-0.7388915595243398
4.0,3.79157,0.325,0.324567,0.575,0.578899,80.0,4.74938,0.718432,4.17406,19.1997,29.218,108.44,94.6964,1.60167,1.60167,24.2502,21.2924,39.9587,36.2025,8.77615,4.10528,0.316476,0.565089,3.60922,-1.00047,1.7367096003676006
4.0,4.25219,0.375,0.369721,0.575,0.582257,80.0,4.76382,1.07404,4.15447,9.71439,14.7706,108.44,94.6964,0.755354,0.755354,10.5157,8.4552,17.711,15.0576,8.13601,3.79747,0.359617,0.566331,3.57409,-1.96397,1.2456180716759042
4.0,3.4119,0.275,0.287151,0.625,0.623887,80.0,3.55991,0.769918,3.11569,7.09561,11.7639,108.44,94.6964,0.545935,0.545935,9.59791,8.01573,15.657,13.6474,9.3563,3.96466,0.281202,0.610534,3.9576,8.55547,0.46925526776121096
4.0,3.76619,0.325,0.326295,0.625,0.623878,80.0,4.19077,0.545797,3.50776,23.1461,36.5234,108.44,94.6964,2.39427,2.39427,29.0921,24.1786,48.6377,42.0228,8.66479,3.70526,0.317939,0.60822,3.84527,5.47422,1.9548959514092903
4.0,4.18445,0.375,0.371258,0.625,0.623934,80.0,2.61887,0.358233,2.13812,16.0627,29.3785,108.44,94.6964,1.88572,1.88572,18.4684,16.1717,31.5808,27.414,7.9731,3.42798,0.360671,0.606371,3.7545,2.98455,-1.2866426593926692
4.0,4.60219,0.425,0.417834,0.625,0.624656,80.0,3.30796,0.967739,2.86889,4.57949,7.76858,108.44,94.6964,0.373439,0.373439,5.03253,4.09346,8.78324,7.23772,7.29788,3.13844,0.404354,0.604633,3.6728,0.743486,0.2472236140869879
4.0,3.41335,0.275,0.288036,0.675,0.66934,80.0,3.3637,0.81384,2.37165,4.89705,8.26373,108.44,94.6964,0.927211,0.927211,5.91143,5.0665,9.73592,8.56597,9.32342,3.56633,0.282022,0.655286,4.23505,16.1658,0.6727334981986968
4.0,3.76201,0.325,0.326759,0.675,0.672299,80.0,2.14623,0.288954,1.50753,14.7614,28.8367,108.44,94.6964,2.62343,2.62343,21.1437,18.2015,35.7389,30.1634,8.63964,3.31781,0.318614,0.65604,4.13336,13.3766,-1.9979024809400485
4.0,4.17783,0.375,0.371698,0.675,0.673532,80.0,2.43157,0.338676,2.01438,14.8276,27.7904,108.44,94.6964,1.51761,1.51761,15.847,12.8427,27.4477,21.4464,7.94756,3.06471,0.360957,0.653991,4.04168,10.8619,-0.7143120072169058
4.0,4.5948,0.425,0.417248,0.675,0.67199,80.0,3.4736,0.954232,2.72185,4.55466,7.60901,108.44,94.6964,0.553901,0.553901,4.00773,3.15435,7.09794,6.0108,7.30305,2.83456,0.403699,0.6497,3.95115,8.37866,0.8302873130692248
4.0,3.72407,0.325,0.331855,0.725,0.713907,80.0,4.95059,1.57711,3.38247,4.16554,6.2656,108.44,94.6964,0.786267,0.786267,5.09136,4.08382,8.71343,7.61365,8.38645,2.92435,0.321954,0.696085,4.27822,17.3498,1.6285789125721895
4.0,4.12303,0.375,0.371338,0.725,0.713931,80.0,3.64063,0.891556,2.78516,5.34754,8.80452,108.44,94.6964,0.793798,0.793798,5.51122,4.58778,9.64001,8.2455,7.86311,2.75523,0.358628,0.693025,4.23119,16.0601,1.4470644560266712
4.0,4.54767,0.425,0.408976,0.725,0.707785,80.0,0.856121,0.681565,0.460252,0.472019,1.23493,108.44,94.6964,0.0958378,0.0958378,0.645923,0.615631,1.15036,1.09905,7.45599,2.66577,,,4.20272,15.279,-2.255378833436443
4.0,3.40353,0.275,0.284295,0.625,0.640766,70.0,2.81975,1.06865,2.06447,1.98732,3.54814,130.017,102.151,0.329251,0.329251,2.72823,2.39305,4.46082,4.10087,9.45328,3.85404,0.278243,0.627781,4.09527,-3.71955,-0.2279371840213903
4.0,3.85263,0.325,0.322573,0.625,0.64171,70.0,3.2204,1.1562,2.55186,2.33078,3.98758,130.017,102.151,0.347876,0.347876,3.14764,2.86319,5.26572,4.65399,8.97457,3.67004,0.314942,0.627116,4.09103,-3.81919,0.2071997606273389
4.0,3.40877,0.275,0.286924,0.675,0.67409,70.0,1.79612,0.388144,1.17822,5.79658,12.0158,130.017,102.151,1.14394,1.14394,9.36047,8.06617,15.4192,12.6751,9.35805,3.53504,0.280625,0.659934,4.27608,0.531405,-2.533170929424007
4.0,3.78293,0.325,0.324606,0.675,0.677285,70.0,2.19592,0.296034,1.55788,15.5142,30.0773,130.017,102.151,2.52784,2.52784,21.5373,17.9613,36.3652,31.124,8.75722,3.31482,0.31683,0.661228,4.21367,-0.935778,-1.6544046227562672
4.0,4.24331,0.375,0.369384,0.675,0.680441,70.0,2.31549,0.417947,1.89685,8.46836,16.1309,130.017,102.151,0.966219,0.966219,9.45899,8.10198,16.374,13.307,8.13078,3.07345,0.358889,0.662148,4.17288,-1.89472,-0.7264047651361389
4.0,3.41504,0.275,0.287549,0.725,0.72416,70.0,2.11562,0.468784,1.34916,5.27029,10.345,130.017,102.151,1.04655,1.04655,7.7253,6.34215,12.8012,10.743,9.34757,3.10329,0.281629,0.709487,4.59248,7.96998,-0.5438957072636759
4.0,3.76804,0.325,0.326372,0.725,0.723801,70.0,2.21437,0.266122,1.43108,18.0909,34.9754,130.017,102.151,3.65072,3.65072,23.1353,19.1098,39.409,32.4497,8.66586,2.92034,0.317999,0.706411,4.46319,4.93036,-0.36024678103352537
4.0,4.18149,0.375,0.368794,0.725,0.719747,70.0,3.4287,0.594668,2.6377,11.2705,18.9052,130.017,102.151,1.60268,1.60268,12.4191,9.8685,21.6746,17.1956,8.0431,2.76192,0.357003,0.699483,4.35821,2.46241,1.887643530194377
4.0,4.5554,0.425,0.409152,0.725,0.708615,70.0,1.62833,1.03398,1.20414,0.699503,1.49792,130.017,102.151,0.0904563,0.0904563,0.857782,0.691031,1.52659,1.23895,7.45974,2.65498,,,4.21085,-1.00215,-0.7335532636628228
4.0,3.408,0.275,0.286941,0.775,0.766363,70.0,1.99339,0.551743,1.16214,2.99902,6.00466,130.017,102.151,0.703134,0.703134,4.2372,3.56949,7.04667,5.91806,9.35597,2.74993,0.280287,0.751045,4.86123,14.2885,-0.08516661333798592
4.0,3.74731,0.325,0.320161,0.775,0.759907,70.0,2.25912,0.560335,1.67158,4.11523,7.90327,130.017,102.151,0.590085,0.590085,5.84862,4.87402,9.96006,8.77042,8.84153,2.68592,0.307564,0.741743,4.74901,11.6501,0.3963296621720803
4.0,3.47588,0.325,0.324953,0.425,0.446447,400.0,2.1964,1.07595,1.9131,1.35386,2.62452,120.391,75.3767,0.0996896,0.0996896,2.01736,1.69546,3.11378,2.64868,8.10447,4.771,0.316528,0.434768,2.54672,-4.13877,-2.1922940874915877
4.0,3.45309,0.325,0.328959,0.475,0.475893,400.0,5.06628,0.882383,4.66749,16.416,24.5343,120.391,75.3767,0.985314,0.985314,23.3355,21.3745,36.6327,33.6112,7.93101,4.47068,0.319773,0.462873,2.66508,0.316277,0.8352603771476812
4.0,3.85824,0.375,0.37357,0.475,0.479112,400.0,5.03851,0.824131,4.69669,20.1358,30.1395,120.391,75.3767,0.948063,0.948063,26.1859,22.3955,41.896,36.3726,7.3539,4.14462,0.362135,0.46417,2.63855,-0.682292,0.9537531307325682
4.0,4.27258,0.425,0.419952,0.475,0.48249,400.0,3.13265,0.64266,2.81993,9.43116,16.2775,120.391,75.3767,0.62417,0.62417,10.5043,8.89755,17.0706,14.1101,6.78773,3.81811,0.405412,0.465762,2.618,-1.45565,-1.6924226558315796
4.0,4.58595,0.475,0.464775,0.475,0.489774,400.0,1.70895,0.921858,1.50556,1.31668,2.77482,120.391,75.3767,0.0766561,0.0766561,1.57443,1.27653,2.59475,2.22534,6.16585,3.43369,0.447015,0.470641,2.57741,-2.98361,-2.7015608557380233
4.0,3.4493,0.325,0.329749,0.525,0.523579,400.0,4.36506,0.733374,3.80588,14.3433,22.3637,120.391,75.3767,1.22424,1.22424,20.7076,18.4398,33.3327,31.395,7.89879,4.11521,0.320738,0.50935,2.9232,10.0321,0.5646904054626343
4.0,3.80125,0.375,0.375961,0.525,0.523516,400.0,5.09412,0.702752,4.63305,26.3867,39.3764,120.391,75.3767,1.80201,1.80201,33.3837,29.3073,54.7272,47.353,7.19634,3.77985,0.36384,0.506416,2.82467,6.32362,1.696994299471931
4.0,4.15098,0.425,0.421865,0.525,0.524741,400.0,4.66497,0.71801,4.31692,20.9585,32.0575,120.391,75.3767,1.01586,1.01586,22.0477,18.1474,36.693,30.9587,6.57348,3.45876,0.407012,0.505915,2.75455,3.68403,1.0841859847838236
4.0,4.52015,0.475,0.470626,0.525,0.524642,400.0,7.75211,2.40113,7.04981,9.1892,12.339,120.391,75.3767,0.52673,0.52673,7.824,6.19744,13.1904,10.8901,5.9695,3.14363,0.451052,0.503477,2.68807,1.18169,1.5928988047175874
4.0,3.44895,0.325,0.333731,0.575,0.563306,400.0,4.11784,1.10998,3.43012,5.26728,8.35488,120.391,75.3767,0.591736,0.591736,6.70541,5.80116,11.0152,9.76002,7.77364,3.7843,0.323993,0.547896,3.10692,16.9476,0.4499947974423326
4.0,3.75304,0.375,0.376618,0.575,0.56994,400.0,5.86983,1.16218,4.99152,15.0524,21.6256,120.391,75.3767,1.49557,1.49557,18.9767,15.7592,31.8686,27.4066,7.09951,3.4446,0.364312,0.551729,3.03076,14.0808,2.0205312484827416
4.0,4.11569,0.425,0.422574,0.575,0.571488,400.0,3.52398,0.5994,3.10717,13.182,21.9234,120.391,75.3767,1.08432,1.08432,15.6275,13.4553,26.7219,22.4243,6.5086,3.16008,0.406877,0.550453,2.96956,11.7773,0.03272103347972635
4.0,4.50855,0.475,0.470945,0.575,0.572968,400.0,3.86885,0.982156,3.50877,6.60477,10.6744,120.391,75.3767,0.411363,0.411363,6.40847,5.22037,11.1277,8.87153,5.94939,2.88353,0.451209,0.549275,2.92688,10.1706,0.3449131780999691
4.0,3.99395,0.425,0.422769,0.625,0.615362,400.0,3.65035,1.12745,3.1572,4.05383,6.66901,120.391,75.3767,0.37443,0.37443,3.95061,3.24247,6.90323,5.43949,6.33626,2.84206,0.405099,0.591,3.10159,16.7471,0.4522535830978314
4.0,3.45871,0.325,0.324978,0.525,0.541332,390.0,8.0205,4.57426,7.18548,3.42611,4.56555,107.597,55.8068,0.23628,0.23628,4.81387,4.02036,7.80033,6.81689,8.06842,4.06393,0.316189,0.527762,3.07413,-3.59029,0.9196991313939141
4.0,3.96636,0.375,0.373068,0.525,0.541902,390.0,3.06811,1.46551,2.68958,2.21093,3.84137,107.597,55.8068,0.165815,0.165815,3.51269,2.85982,5.81538,4.77367,7.54915,3.81522,0.361694,0.526312,3.074,-3.59443,-0.46871500508615427
4.0,3.45135,0.325,0.329391,0.575,0.575108,390.0,3.95064,0.695711,3.39424,15.4682,24.8417,107.597,55.8068,1.47559,1.47559,19.9822,17.421,32.9174,29.2401,7.91388,3.75396,0.320304,0.559655,3.21656,0.87642,0.6094623040098917
4.0,3.8459,0.375,0.373776,0.575,0.578167,390.0,3.46288,0.560864,2.93941,18.4048,30.7768,107.597,55.8068,1.70761,1.70761,23.3345,19.1738,39.3047,33.2796,7.32789,3.48434,0.361611,0.560495,3.17392,-0.460816,0.012731872067848987
4.0,4.26891,0.425,0.420387,0.575,0.579899,390.0,4.30663,1.08935,3.8489,8.93796,13.9909,107.597,55.8068,0.573383,0.573383,9.61103,7.8878,16.498,14.4661,6.77148,3.22347,0.40594,0.559372,3.14186,-1.4662,0.799150754503248
4.0,3.45116,0.325,0.330218,0.625,0.623072,390.0,4.86412,0.948384,3.8221,14.0702,21.2683,107.597,55.8068,1.9385,1.9385,17.1813,14.3514,28.8347,25.3026,7.88784,3.40115,0.321036,0.606451,3.47681,9.03834,1.8331613634906951
4.0,3.79937,0.375,0.376072,0.625,0.623822,390.0,2.7818,0.390747,2.22043,20.6464,37.0246,107.597,55.8068,2.56462,2.56462,27.3649,23.0414,47.023,39.8235,7.19038,3.13298,0.36353,0.603461,3.36442,5.51367,-0.7543138818363995
4.0,4.15407,0.425,0.421735,0.625,0.624145,390.0,2.54281,0.428091,2.1864,15.114,27.9124,107.597,55.8068,1.25759,1.25759,17.6203,14.3858,30.8909,24.9176,6.58092,2.88362,0.405913,0.601387,3.28114,2.90185,-1.230263929068919
4.0,4.50898,0.475,0.463904,0.625,0.618179,390.0,3.18685,1.26156,2.60501,3.27218,5.6168,107.597,55.8068,0.348997,0.348997,3.57594,2.81545,6.35424,5.11291,6.09444,2.71129,0.438702,0.585668,3.20672,0.567981,0.031449718390522324
4.0,3.44515,0.325,0.331231,0.675,0.668141,390.0,3.01749,0.700905,2.13808,6.90676,12.0643,107.597,55.8068,1.24586,1.24586,8.83727,7.45572,15.0541,12.9964,7.84364,3.06843,0.322416,0.650293,3.71017,16.3569,0.37843075162809
4.0,3.77263,0.375,0.374755,0.675,0.670528,390.0,3.30421,0.562051,2.56645,14.5965,24.7702,107.597,55.8068,1.90174,1.90174,17.5784,14.13,30.6972,25.9296,7.18031,2.83287,0.362191,0.649351,3.60335,13.007,1.084317076768023
4.0,4.16455,0.425,0.416188,0.675,0.664721,390.0,3.22388,0.871573,2.75568,5.99523,10.2533,107.597,55.8068,0.546384,0.546384,6.93344,5.57197,12.3158,9.7223,6.72443,2.70441,0.398992,0.639588,3.55068,11.3551,0.5593361887966924
4.0,3.46503,0.325,0.32667,0.625,0.636924,380.0,3.44198,1.03728,2.41045,5.00467,8.3847,107.933,61.4134,0.860585,0.860585,7.13745,5.86466,11.9992,10.9119,8.02674,3.34971,0.318343,0.620562,3.60582,-3.10964,0.4111642053130196
4.0,3.94193,0.375,0.37269,0.625,0.638642,380.0,4.07467,1.41955,3.17378,4.26899,6.7927,107.933,61.4134,0.599267,0.599267,5.17662,4.1387,8.91129,7.18176,7.51903,3.14947,0.361507,0.619704,3.60494,-3.13303,0.787407613306199
4.0,3.45316,0.325,0.329923,0.675,0.674094,380.0,3.39192,0.613717,2.53932,12.8635,21.6502,107.933,61.4134,2.21595,2.21595,16.7024,14.2713,28.446,23.5644,7.90081,3.04398,0.320846,0.65595,3.76723,1.2277,1.1187569666323014
4.0,3.8437,0.375,0.373378,0.675,0.676357,380.0,3.34438,0.560612,2.5855,15.455,26.1274,107.933,61.4134,2.23668,2.23668,18.6927,15.6937,32.6337,27.708,7.33413,2.84296,0.361718,0.655516,3.71577,-0.155019,1.2411194233716447
4.0,4.27404,0.425,0.415393,0.675,0.671237,380.0,1.9406,0.609098,1.665,3.89664,7.872,107.933,61.4134,0.318317,0.318317,4.91327,4.09212,8.7283,6.92304,6.89877,2.72081,0.400269,0.647179,3.68628,-0.947508,-1.2211743419245353
4.0,3.44425,0.325,0.328247,0.725,0.717952,380.0,3.79906,0.869789,2.61259,8.45331,13.7377,107.933,61.4134,1.67701,1.67701,10.3861,8.38919,17.8486,14.4963,7.93587,2.74409,0.318518,0.699087,4.02302,8.10102,1.6605191890485536
4.0,3.79753,0.375,0.365181,0.725,0.710411,380.0,3.89635,1.47719,2.8188,3.4065,5.49367,107.933,61.4134,0.731431,0.731431,4.99012,4.48904,8.75191,7.41866,7.48292,2.67184,0.345923,0.687244,3.94306,5.95236,1.0259765762490922
4.0,3.44455,0.375,0.37552,0.375,0.378521,140.0,4.07594,0.605949,3.79532,20.3995,32.4561,131.166,72.0861,1.00359,1.00359,30.8636,28.2557,45.6304,42.5408,6.61398,4.3319,0.362326,0.365151,1.84917,0.590318,-1.3984760560726601
4.0,3.84006,0.425,0.423475,0.375,0.380818,140.0,5.06049,0.93838,4.73953,16.2268,24.2593,131.166,72.0861,0.740321,0.740321,23.4668,21.4463,35.1043,33.1352,6.11148,4.00355,0.407009,0.365793,1.838,-0.016922,0.16844104000552645
4.0,4.19485,0.475,0.470548,0.375,0.383584,140.0,6.7931,2.11659,6.57254,7.74457,10.7259,131.166,72.0861,0.191063,0.191063,8.42301,7.6764,12.6848,11.7728,5.60554,3.66678,0.450207,0.366646,1.82065,-0.96089,0.880421365446927
4.0,3.16827,0.325,0.338412,0.425,0.419478,140.0,4.43241,1.2905,3.99329,4.65986,7.23323,131.166,72.0861,0.397073,0.397073,8.77895,8.45363,13.1978,12.0808,7.07847,4.35945,0.328152,0.406509,2.09322,13.8659,-0.22194961798657706
4.0,3.42593,0.375,0.37779,0.425,0.421787,140.0,6.95708,1.18626,6.36331,22.0535,30.3681,131.166,72.0861,1.32472,1.32472,29.894,26.9693,45.5131,43.1846,6.52942,4.03333,0.366303,0.408459,2.03884,10.9082,1.937753030809687
4.0,3.71612,0.425,0.425056,0.425,0.423253,140.0,5.31169,0.764368,4.98552,26.4934,39.086,131.166,72.0861,1.20384,1.20384,35.5278,31.7211,54.5694,49.1016,5.9123,3.66599,0.407986,0.405805,1.97175,7.25851,0.8774213564728587
