Q2,Q2_corr,Q2_corr_err,xbj_set,xbj,xbj_corr,xbj_corr_err,z_set,z,z_corr,z_corr_err,RunGroup,y_RD,error_RD,y_RD_rho,RY,RY_rho,RY_1p8rho,error,yield_neg,yield_pos,yield_neg_data,error_neg,yield_pos_data,error_pos,charge_neg_all,charge_pos_all,yield_neg_exc,yield_neg_delta,yield_neg_rho,yield_pos_exc,yield_pos_delta,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,shms_dp
4,4.56126,0.0130197,0.35,0.425000,0.420185,9.43039e-05,0.4,0.475000,0.473382,0.000101745,100,4.77483,0.994482,4.48709,0.658113,0.646522,0.636626,0.0387473,11.8923,18.0703,10.8294,0.610234,16.3015,0.52165,69.1702,125.853,0.0965932,0.128953,0.551186,0.170858,0.375097,0.551186,12.6707,11.2979,20.5803,17.944,7.17999,4.06711,0.406315,0.457804,2.74173,12.9151
4,4.95205,0.00744568,0.35,0.475000,0.46744,8.29773e-05,0.4,0.475000,0.473641,0.000104563,100,6.50971,3.1341,6.20695,0.71455,0.706083,0.699016,0.0851243,3.06924,4.29535,2.84564,0.319139,4.39021,0.249727,69.1702,125.853,0.0204944,0.0685156,0.0954785,0.0528241,0.196962,0.0954785,2.63772,2.36907,4.32417,4.16821,6.52707,3.68979,0.44972,0.456409,2.67698,10.2484
4,4.0283,0.0133678,0.35,0.375000,0.374873,9.67956e-05,0.4,0.525000,0.514025,5.39823e-05,100,5.20593,1.46404,4.81704,0.674123,0.65975,0.647182,0.0518249,6.4503,9.56843,6.4076,0.433106,9.31443,0.358231,69.1702,125.853,0.0712376,0.073417,0.423239,0.143934,0.21578,0.423239,7.48052,7.26325,12.2247,11.4406,7.60172,4.03834,0.363005,0.498627,2.94661,21.3528
4,4.52421,0.0139378,0.35,0.425000,0.42249,9.99851e-05,0.4,0.525000,0.51432,5.54745e-05,100,7.60253,3.29578,6.64282,0.741436,0.71812,0.696778,0.0734469,4.23494,5.71181,3.98886,0.365652,5.80982,0.277363,69.1702,125.853,0.0519742,0.0719415,0.383579,0.12065,0.209462,0.383579,4.8848,4.45803,8.11573,7.78595,7.06808,3.75031,0.407281,0.496969,2.93788,20.9933
4,3.86014,0.016236,0.35,0.325000,0.322722,0.000101012,0.5,0.425000,0.439005,3.00144e-05,90,6.59386,1.81344,6.38576,0.716817,0.711143,0.706446,0.0484747,11.0384,15.3991,10.1316,0.524502,14.9918,0.740974,111.463,62.5913,0.351547,0.0802937,0.256331,0.995671,0.258254,0.256331,13.073,11.4876,20.3102,18.1191,8.98504,5.33235,0.314794,0.428963,2.80082,-7.77416
4,4.31347,0.00690282,0.35,0.375000,0.365791,6.71651e-05,0.5,0.425000,0.44213,1.84548e-05,90,5.58988,2.85593,5.42425,0.68717,0.681672,0.677148,0.093163,2.75405,4.00781,2.46567,0.27032,3.76063,0.37482,111.463,62.5913,0.115936,0.00962578,0.0545666,0.197709,0.0289537,0.0545666,2.77345,2.3566,4.38417,3.86583,8.36537,4.95384,0.355797,0.430506,2.78158,-8.40763
4,4.19028,0.0175335,0.35,0.375000,0.371129,9.70582e-05,0.5,0.475000,0.478651,9.29844e-05,90,4.99291,0.783015,4.69204,0.666404,0.654857,0.645048,0.0290463,25.6257,38.4537,23.1051,0.827845,35.683,1.12517,111.463,62.5913,0.537279,0.15543,1.10089,1.20847,0.447162,1.10089,28.2691,24.7243,45.4764,40.2418,7.98719,4.47917,0.360386,0.46485,2.8828,-5.07455
4,4.60069,0.0109015,0.35,0.425000,0.418396,8.90899e-05,0.5,0.475000,0.48239,6.83625e-05,90,3.19736,0.808486,3.05733,0.58318,0.57491,0.568011,0.0468218,7.2687,12.4639,6.48167,0.433824,10.543,0.669328,111.463,62.5913,0.0317963,0.0314333,0.235403,0.134604,0.0922708,0.235403,7.71853,6.81565,12.624,10.4487,7.28125,4.05961,0.404518,0.466932,2.82907,-6.84406
4,4.96729,0.00617188,0.35,0.475000,0.465697,7.72122e-05,0.5,0.475000,0.489513,2.41182e-05,90,0.971476,0.697192,0.927126,0.396557,0.391126,0.386698,0.0846259,0.999212,2.51972,0.862786,0.176267,2.02042,0.302587,111.463,62.5913,0.00186104,0.00136792,0.0205039,0.0254307,0.0039003,0.0205039,0.994215,0.855258,1.64852,1.30266,6.58428,3.61826,0.448113,0.472178,2.78509,-8.29217
4,4.95773,0.00682565,0.35,0.475000,0.467368,7.39173e-05,0.5,0.525000,0.523546,0.000100088,90,7.78587,4.12439,7.47466,0.745458,0.738554,0.732741,0.0890753,3.81376,5.116,3.29535,0.334331,4.38606,0.415404,111.463,62.5913,0.0102026,0.00822863,0.120399,0.0224889,0.0229384,0.120399,2.55345,2.19402,4.32074,3.66591,6.53449,3.39296,0.449922,0.504421,2.96325,-2.4256
4,3.16346,0.00202415,0.4,0.275000,0.291725,1.83227e-05,0.5,0.425000,0.431462,5.74614e-05,400,7.99753,3.32524,7.77612,0.749949,0.745247,0.741369,0.0693044,4.661,6.21509,4.49512,0.313326,6.15284,0.394112,120.391,75.3767,0.101099,0.0372272,0.100138,0.0831694,0.116458,0.100138,6.75221,6.31153,10.1785,9.74964,8.5646,5.13814,0.284959,0.421832,2.49515,-6.08004
